firmname,own,own2
그린에어,1.0,1.0
기아자동차,0.9890040823054483,1.0
기아타이거즈,1.0,1.0
동북선도시철도,1.0,1.0
메인트란스,1.0,1.0
모션,1.0,1.0
부산파이낸스센터에이엠씨,1.0,1.0
블루월넛,1.0,1.0
서림개발,1.0,1.0
서림환경기술,1.0,1.0
서울피엠씨,1.0,1.0
송도랜드마크시티,1.0,1.0
에이치엘그린파워,1.0,1.0
위아마그나파워트레인,1.0,1.0
율촌제2산업단지개발,1.0,1.0
이노션,0.9099999999999999,1.0
전북현대모터스에프씨,1.0,1.0
지마린서비스,1.0,1.0
지아이티,1.0,1.0
해비치컨트리클럽,1.0,1.0
해비치호텔앤드리조트,1.0,1.0
현대건설,0.9999353997175228,1.0
현대글로비스,0.9553334666666666,1.0
현대도시개발,1.0,1.0
현대로템,0.9999724117647059,1.0
현대머티리얼,1.0,1.0
현대모비스,0.9829723997394957,1.0
현대비앤지스틸,1.0,1.0
현대서산농장,0.9963709677419355,1.0
현대스틸산업,1.0,1.0
현대아이에이치엘,0.999375,1.0
현대아이에프씨,1.0,1.0
현대에너지,1.0,1.0
현대에코에너지,1.0,1.0
현대엔지니어링,0.9540990983814946,1.0
현대엔지비,1.0,1.0
현대엠시트,1.0,1.0
현대엠엔소프트,1.0,1.0
현대오토에버,0.9997564285714284,1.0
현대오트론,1.0,1.0
현대위아,0.9766371737126156,1.0
현대위아터보,1.0,1.0
현대자동차,0.9397250170468912,1.0
현대제철,0.9834963464750872,1.0
현대종합설계건축사사무소,1.0,1.0
현대종합특수강,1.0,1.0
현대차증권,0.9994065326307713,1.0
현대첨단소재,1.0,1.0
현대카드,1.0,1.0
현대캐피탈,0.9999999999999999,0.9999999999999999
현대커머셜,1.0,1.0
현대케피코,1.0,1.0
현대트랜시스,0.9980462601664664,1.0
현대파텍스,1.0,1.0
