firmname,own,own2
넷마블,0.9776359763413323,1.0
넷마블네오,0.9688996603392878,0.9999999999999999
넷마블넥서스,1.0,1.0
넷마블몬스터,0.8664794686878493,1.0
넷마블앤파크,0.9295748679604338,0.9999999999999999
넷마블엔투,1.0,1.0
마켓프레스,0.6050017437478203,1.0
미디어웹,0.9999487385847237,1.0
아이지에스,1.0,1.0
에브리플레이,1.0,1.0
엔탑자산관리,1.0,1.0
엠엔비프로덕션,1.0,1.0
"이데아게임즈 (구, 넷마블블루)",0.8249137525787337,1.0
이츠게임즈,1.0,1.0
인디스앤,1.0,1.0
인디스에어,0.9963815865182076,1.0
지스퀘어피에프브이,1.0,1.0
지타운피에프브이,1.0,1.0
천백십일,0.8799999999999999,0.9999999999999999
체리벅스,0.9278120999610396,1.0
퍼니파우,0.9288668029416602,1.0
포플랫,0.8197992725269737,1.0
화이버텍,0.7998377108599206,0.9999999999999999
