firmname,own,own2
NH농협무역,1.0,1.0
공영홈쇼핑,1.0,1.0
남해화학,0.9650485418913641,1.0
농업협동조합자산관리회사,1.0,1.0
농업회사법인 농협식품,1.0,1.0
농업회사법인 농협양곡,1.0,1.0
농업회사법인 오리온농협,1.0,1.0
농업회사법인농협티엠알,1.0,1.0
농업회사법인농협흙사랑,1.0,1.0
농우바이오,0.9994098771714851,1.0
농협경제지주,1.0,1.0
농협금융지주,1.0,1.0
농협네트웍스,1.0,1.0
농협대전유통,1.0,1.0
농협목우촌,1.0,1.0
농협물류,1.0,1.0
농협부산경남유통,1.0,1.0
농협사료,1.0,1.0
농협생명보험,1.0,1.0
농협손해보험,1.0,1.0
농협아그로,1.0,1.0
농협유통,1.0,1.0
농협은행,1.0,1.0
농협정보시스템,1.0,1.0
농협충북유통,1.0,1.0
농협케미컬,1.0,1.0
농협파트너스,1.0,1.0
농협하나로유통,1.0,1.0
농협홍삼,1.0,1.0
상림농업회사법인,1.0,1.0
앤에이치김해아이엔디,1.0,1.0
엔에이치농협리츠운용,1.0,1.0
엔에이치농협캐피탈,1.0,1.0
엔에이치뉴그로쓰사모투자합자회사,1.0,1.0
엔에이치선물,1.0,1.0
엔에이치아문디자산운용,1.0,1.0
엔에이치아주아이비중소중견그로쓰2013사모투자전문회사,0.875,1.0
엔에이치애그리비즈밸류크리에이티브제일호 사모투자합자회사,1.0,1.0
엔에이치저축은행,1.0,1.0
엔에이치큐씨피중소중견글로벌투자파트너쉽사모투자전문회사,0.9384615384615385,1.0
엔에이치투자증권,0.9967192038240461,1.0
이니어스엔에이치사모투자합자회사,1.0,1.0
코에프씨우리그로쓰챔프제2010의3호 사모투자전문회사,1.0,1.0
햇살유통,0.946953507147267,1.0
