firmname,own,own2
 케이티서비스 북부,1.0,1.0
 케이티서비스남부,1.0,1.0
나스미디어,0.8027644836351163,1.0
넥스트커넥트피에프브이,1.0,1.0
브이피,0.9998676723567553,1.0
비씨카드,1.0,1.0
스마트로,1.0,1.0
스카이라이프티브이,1.0,1.0
스토리위즈,1.0,1.0
에이치엔씨네트워크,1.0,1.0
오토피온,1.0,1.0
이니텍,0.9798250874290002,1.0
지니뮤직,0.9936595504967201,1.0
지이프리미어제1호기업구조조정부동산투자회사,1.0,1.0
케이디리빙,1.0,1.0
케이리얼티임대주택제3호위탁관리부동산투자회사,1.0,1.0
케이에이치에스,0.0,1.0
케이티,0.8002380420880851,0.8612518779694559
케이티넥스알,1.0,1.0
케이티디에스,0.996451927064186,1.0
케이티링커스,1.0,1.0
케이티샛,1.0,1.0
케이티서브마린,0.9385445205479452,1.0
케이티스카이라이프,0.9945608049656511,1.0
케이티스포츠,1.0,1.0
케이티씨에스,0.9788590839873492,1.0
케이티아이에스,0.9710125854835929,1.0
케이티에스테이트,1.0,1.0
케이티에이엠씨,1.0,1.0
케이티엠모바일,1.0,1.0
케이티엠앤에스,1.0,1.0
케이티엠오에스남부,0.7631667185229714,1.0
케이티엠오에스북부,0.8086543695907724,1.0
케이티엠하우스 ※1),0.99,1.0
케이티이엔지코어,1.0,1.0
케이티인베스트먼트,1.0,1.0
케이티지디에이치,1.0,1.0
케이티커머스,1.0,1.0
케이티텔레캅,1.0,1.0
케이티파워텔,0.9999887474673146,1.0
케이티하이텔,0.9996864064650444,1.0
케이티희망지음,1.0,1.0
플레이디,1.0,1.0
후후앤컴퍼니,1.0,1.0
