firmname,own,own2
고려아연,0.8729575516693164,1.0
농업회사법인에스피팜랜드(유),0.9,1.0
서린상사,0.8298744216787839,1.0
서린정보기술,0.8366800000000001,1.0
시그네틱스,1.0,1.0
씨케이(유),1.0,1.0
알란텀,0.44028898387900556,1.0
엑스메텍,1.0,1.0
영풍,0.793379079715967,1.0
영풍개발,0.736,1.0000000000000002
영풍문고,0.739,1.0
영풍전자,1.0,1.0
영풍정밀,0.8148984761904762,1.0
와이투북스,1.0,1.0
유미개발,0.33246049661399546,0.9999999999999999
인터플렉스,1.0,1.0
징크옥사이드코퍼레이션,1.0,1.0
케이지그린텍,1.0,1.0
케이지엑스,1.0,1.0
켐코,0.8,1.0
코리아니켈,0.8919444444444444,1.0
코리아써키트,0.9984179992502504,1.0
클린코리아,1.0,1.0
테라닉스,0.9761607142857143,1.0
