,Unnamed: 0,firm,kiscode,kiscode_tf
33,33,포항테크노밸리피에프브이(주),H50639,18050639
0,0,현대자동차(주),380954,380954
1,1,기아자동차(주),380911,380911
2,2,현대제철(주),370142,370142
3,3,현대모비스(주),380130,380130
4,4,현대건설(주),500577,500577
5,5,현대로템(주),119613,119613
6,6,현대위아(주),380962,380962
7,7,현대오토에버(주),159613,159613
8,8,현대글로비스(주),163890,163890
9,9,현대차증권(주),860140,860140
10,10,(주)이노션,381929,381929
11,11,현대비앤지스틸(주),370266,370266
12,12,현대엔지니어링(주),160216,160216
13,13,현대트랜시스(주),128373,128373
14,14,현대캐피탈(주),021637,21637
15,15,현대카드(주),044292,44292
16,16,(주)현대케피코,389439,389439
17,17,현대오트론(주),381542,381542
18,18,해비치호텔앤드리조트(주),163446,163446
19,19,현대엠엔소프트(주),975583,975583
20,20,현대아이에이치엘(주),103381,103381
21,21,현대커머셜(주),485172,485172
22,22,현대엠시트(주),189293,189293
23,23,(주)현대종합설계건축사사무소,215131,215131
24,24,현대종합특수강(주),F39588,16039588
25,25,현대스틸산업(주),200183,200183
26,26,(주)지아이티,124724,124724
27,27,에이치엘그린파워(주),F06276,16006276
28,28,현대엔지비(주),164179,164179
29,29,(주)지마린서비스,467789,467789
30,30,현대첨단소재(주),221695,221695
31,31,해비치컨트리클럽(주),827983,827983
32,32,현대머티리얼(주),F22359,16022359
33,33,현대파텍스(주),382164,382164
34,34,기아타이거즈(주),910252,910252
35,35,그린에어(주),C77837,13077837
36,36,농업회사법인(주)현대서산농장,513850,513850
37,37,블루월넛(주),IL5464,1902305464
38,38,위아마그나파워트레인(주),C83529,13083529
39,39,현대도시개발(주),494261,494261
40,40,현대위아터보(주),L02386,23002386
41,41,현대에코에너지(주),IS5768,1903105768
42,42,(주)서울피엠씨,023973,23973
43,43,서림개발(주),C77835,13077835
44,44,메인트란스(주),C38959,13038959
45,45,현대아이에프씨(주),LD9933,2301409933
46,46,부산파이낸스센터에이엠씨(주),F00306,16000306
47,47,(주)서림환경기술,C77836,13077836
48,48,송도랜드마크시티(유),C38609,13038609
49,49,전북현대모터스에프씨(주),C77834,13077834
50,50,(주)모션,JU4878,2103304878
51,51,동북선도시철도(주),JE9284,2101509284
52,52,율촌제2산업단지개발(주),I09695,19009695
53,53,퍼플엠(주),LJ2150,2302102150
54,54,현대엔터프라이즈(주),LS7348,2303107348
0,0,엔에이치투자증권(주),860301,860301
1,1,남해화학(주),350052,350052
2,2,농업회사법인(주)농우바이오,454958,454958
3,3,농협은행(주),H80827,18080827
4,4,(주)농협파트너스,203952,203952
5,5,(주)농협하나로유통,CR3759,1302903759
