,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,금융회사,키움증권,동일인측,동일인,동일인,-,-,-,-,-,,-,25392913.0,
1,금융회사,키움증권,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,25392913.0,
2,금융회사,키움증권,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,25392913.0,
3,금융회사,키움증권,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,25392913.0,
4,금융회사,키움증권,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,25392913.0,
5,금융회사,키움증권,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,25392913.0,
6,금융회사,키움증권,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,25392913.0,
7,금융회사,키움증권,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,25392913.0,
8,금융회사,키움증권,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,25392913.0,
9,금융회사,키움증권,동일인측,친족,친족 합계,/,-,-,-,-,,-,25392913.0,
10,금융회사,키움증권,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,25392913.0,
11,금융회사,키움증권,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,25392913.0,
12,금융회사,키움증권,동일인측,등기된 임원,등기된 임원,황현순,7377,0.03%,-,-,7377.0,0.03%,25392913.0,0.00029051412888312576
13,금융회사,키움증권,동일인측,등기된 임원,등기된 임원,임경호,400,0.00%,-,-,400.0,0.00%,25392913.0,1.5752426671173962e-05
14,금융회사,키움증권,동일인측,등기된 임원,등기된 임원,최창민,875,0.00%,-,-,875.0,0.00%,25392913.0,3.445843334319304e-05
15,금융회사,키움증권,동일인측,등기된 임원,등기된 임원,이진혁,1250,0.01%,-,-,1250.0,0.00%,25392913.0,4.922633334741863e-05
16,금융회사,키움증권,동일인측,등기된 임원,등기된 임원,이진환,305,0.00%,-,-,305.0,0.00%,25392913.0,1.2011225336770145e-05
17,금융회사,키움증권,동일인측,자기주식,자기주식,키움증권,500000,2.26%,-,-,500000.0,1.97%,25392913.0,0.01969053333896745
