,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,에이케이홀딩스,동일인측,동일인,동일인,장영신,984198,7.43,0,0.00,984198.0,7.43,13247561.0,0.07429276981627034
1,비금융회사,에이케이홀딩스,동일인측,친족,배우자/혈족1촌,채형석,2138251,16.14,0,0.00,2138251.0,16.14,13247561.0,0.16140714505862627
2,비금융회사,에이케이홀딩스,동일인측,친족,배우자/혈족1촌,채동석,1237433,9.34,0,0.00,1237433.0,9.34,13247561.0,0.0934083639999846
3,비금융회사,에이케이홀딩스,동일인측,친족,배우자/혈족1촌,채승석,1099583,8.30,0,0.00,1099583.0,8.30,13247561.0,0.08300267498296479
4,비금융회사,에이케이홀딩스,동일인측,친족,배우자/혈족1촌,채은정,510672,3.85,0,0.00,510672.0,3.85,13247561.0,0.03854837882988423
5,비금융회사,에이케이홀딩스,동일인측,친족,혈족2~4촌,채문선,13770,0.10,0,0.00,13770.0,0.10,13247561.0,0.0010394366178045906
6,비금융회사,에이케이홀딩스,동일인측,친족,혈족2~4촌,채수연,13688,0.10,0,0.00,13688.0,0.10,13247561.0,0.0010332467991655218
7,비금융회사,에이케이홀딩스,동일인측,친족,혈족2~4촌,채정균,20608,0.16,0,0.00,20608.0,0.16,13247561.0,0.0015556071038283952
8,비금융회사,에이케이홀딩스,동일인측,친족,혈족2~4촌,채문경,13689,0.10,0,0.00,13689.0,0.10,13247561.0,0.0010333222847586812
9,비금융회사,에이케이홀딩스,동일인측,친족,혈족2~4촌,채수경,13688,0.10,0,0.00,13688.0,0.10,13247561.0,0.0010332467991655218
10,비금융회사,에이케이홀딩스,동일인측,친족,혈족2~4촌,안리나,13530,0.10,0,0.00,13530.0,0.10,13247561.0,0.0010213200754463406
11,비금융회사,에이케이홀딩스,동일인측,친족,혈족2~4촌,안세미,13530,0.10,0,0.00,13530.0,0.10,13247561.0,0.0010213200754463406
12,비금융회사,에이케이홀딩스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,13247561.0,
13,비금융회사,에이케이홀딩스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,13247561.0,
14,비금융회사,에이케이홀딩스,동일인측,친족,인척 4촌 이내,홍미경,13357,0.10,0,0.00,13357.0,0.10,13247561.0,0.0010082610678297688
15,비금융회사,에이케이홀딩스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,13247561.0,
16,비금융회사,에이케이홀딩스,동일인측,친족,친족 합계,/,5101799,38.51,0,0.00,5101799.0,38.51,13247561.0,0.38511232369490506
