,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,금융회사,미래에셋캐피탈,동일인측,동일인,동일인,박현주,8712036,34.32,-,-,8712036.0,34.32,25387402.0,0.3431637471215054
1,금융회사,미래에셋캐피탈,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,25387402.0,
2,금융회사,미래에셋캐피탈,동일인측,친족,혈족2~4촌,박현민,92590,0.36,-,-,92590.0,0.36,25387402.0,0.0036470844870223427
3,금융회사,미래에셋캐피탈,동일인측,친족,혈족2~4촌,송성원,9900,0.04,-,-,9900.0,0.04,25387402.0,0.0003899571921538092
4,금융회사,미래에셋캐피탈,동일인측,친족,혈족2~4촌,송하경,10000,0.04,-,-,10000.0,0.04,25387402.0,0.0003938961536907164
5,금융회사,미래에셋캐피탈,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,25387402.0,
6,금융회사,미래에셋캐피탈,동일인측,친족,인척4촌이내,김고은,100,0.00,-,-,100.0,0.00,25387402.0,3.938961536907164e-06
7,금융회사,미래에셋캐피탈,동일인측,친족,친족 합계,-,112590,0.44,-,-,112590.0,0.44,25387402.0,0.004434876794403775
8,금융회사,미래에셋캐피탈,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,25387402.0,
9,금융회사,미래에셋캐피탈,동일인측,등기된 임원,등기된 임원,최현만,249480,0.98,-,-,249480.0,0.98,25387402.0,0.009826921242275992
10,금융회사,미래에셋캐피탈,동일인측,등기된 임원,등기된 임원,강길환,32400,0.13,-,-,32400.0,0.13,25387402.0,0.001276223537957921
11,금융회사,미래에셋캐피탈,동일인측,자기주식,자기주식,-,-,-,-,-,,-,25387402.0,
12,금융회사,미래에셋캐피탈,동일인측,계열회사,계열회사,미래에셋자산운용,7496252,29.53,-,-,7496252.0,29.53,25387402.0,0.295274482989634
13,금융회사,미래에셋캐피탈,동일인측,계열회사,계열회사,미래에셋컨설팅,2533424,9.98,-,-,2533424.0,9.98,25387402.0,0.09979059692677494
14,금융회사,미래에셋캐피탈,동일인측,계열회사,계열회사,미래에셋펀드서비스,2408400,9.49,-,-,2408400.0,9.49,25387402.0,0.09486594965487213
15,금융회사,미래에셋캐피탈,동일인측,동일인측 합계,동일인측 합계,-,21544582,84.87,-,-,21544582.0,84.87,25387402.0,0.8486327982674241
16,금융회사,미래에셋캐피탈,기타주주,동일인측이아닌최다주주,동일인측이아닌최다주주,-,-,-,-,-,,-,25387402.0,
17,금융회사,미래에셋캐피탈,기타주주,기타,기타,전홍 외,3842820,15.13,-,-,3842820.0,15.13,25387402.0,0.15136720173257587
18,금융회사,미래에셋캐피탈,총계,총계,총계,-,25387402,100.00,-,-,25387402.0,100.00,25387402.0,1.0
19,금융회사,미래에셋대우,동일인측,동일인,동일인,박현주,0,0.00%,0,0.00%,0.0,0.00%,812392158.0,0.0
20,금융회사,미래에셋대우,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,812392158.0,
21,금융회사,미래에셋대우,동일인측,친족,혈족2~4촌,박현민,327000,0.05%,0,0.00%,327000.0,0.04%,812392158.0,0.000402514963715344
22,금융회사,미래에셋대우,동일인측,친족,혈족2~4촌,박형자,353,0.00%,82,0.00%,435.0,0.00%,812392158.0,5.35455685676375e-07
23,금융회사,미래에셋대우,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,812392158.0,
