,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,금융회사,한국투자금융지주,동일인측,동일인,동일인,김남구,11271636,20.23,-,-,11271636.0,18.30,61584243.0,0.18302792160650574
1,금융회사,한국투자금융지주,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,61584243.0,
2,금융회사,한국투자금융지주,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,61584243.0,
3,금융회사,한국투자금융지주,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,61584243.0,
4,금융회사,한국투자금융지주,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,61584243.0,
5,금융회사,한국투자금융지주,동일인측,친족,친족 합계,/,-,-,-,-,,-,61584243.0,
6,금융회사,한국투자금융지주,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,61584243.0,
7,금융회사,한국투자금융지주,동일인측,등기된 임원,등기된 임원,김주원,10000,0.02,-,-,10000.0,0.02,61584243.0,0.00016237919819847425
8,금융회사,한국투자금융지주,동일인측,자기주식,자기주식,한국투자금융지주,2987479,5.36,200000,3.41,3187479.0,5.18,61584243.0,0.05175802842944745
9,금융회사,한국투자금융지주,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,61584243.0,
10,금융회사,한국투자금융지주,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,61584243.0,
11,금융회사,한국투자금융지주,동일인측,동일인측 합계,동일인측 합계,/,14269115,25.61,200000,3.41,14469115.0,23.49,61584243.0,0.23494832923415165
12,금융회사,한국투자금융지주,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,61584243.0,
13,금융회사,한국투자금융지주,기타주주,기타,기타,/,41456877,74.39,5658251,96.59,47115128.0,76.51,61584243.0,0.7650516707658483
14,금융회사,한국투자금융지주,총 계,총 계,총 계,/,55725992,100.00,5858251,100.00,61584243.0,100.00,61584243.0,1.0
15,금융회사,한국투자증권,동일인측,동일인,동일인,-,-,-,-,-,,-,35147800.0,
16,금융회사,한국투자증권,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,35147800.0,
17,금융회사,한국투자증권,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,35147800.0,
18,금융회사,한국투자증권,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,35147800.0,
19,금융회사,한국투자증권,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,35147800.0,
20,금융회사,한국투자증권,동일인측,친족,친족 합계,-,-,-,-,-,,-,35147800.0,
21,금융회사,한국투자증권,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,35147800.0,
22,금융회사,한국투자증권,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,35147800.0,
23,금융회사,한국투자증권,동일인측,자기주식,자기주식,-,-,-,-,-,,-,35147800.0,
24,금융회사,한국투자증권,동일인측,계열회사(국내+해외),계열회사(국내+해외),한국투자금융지주,35147800,100.00,-,-,35147800.0,100.00,35147800.0,1.0
25,금융회사,한국투자증권,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,35147800.0,
26,금융회사,한국투자증권,동일인측,동일인측 합계,동일인측 합계,-,35147800,100.00,-,-,35147800.0,100.00,35147800.0,1.0
27,금융회사,한국투자증권,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,35147800.0,
28,금융회사,한국투자증권,기타주주,기타,기타,-,-,-,-,-,,-,35147800.0,
29,금융회사,한국투자증권,총 계,총 계,총 계,-,35147800,100.00,-,-,35147800.0,100.00,35147800.0,1.0
30,금융회사,한국투자신탁운용,동일인측,동일인,동일인,-,-,-,-,-,,-,13200000.0,
31,금융회사,한국투자신탁운용,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,13200000.0,
32,금융회사,한국투자신탁운용,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,13200000.0,
33,금융회사,한국투자신탁운용,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,13200000.0,
34,금융회사,한국투자신탁운용,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,13200000.0,
35,금융회사,한국투자신탁운용,동일인측,친족,친족 합계,/,-,-,-,-,,-,13200000.0,
36,금융회사,한국투자신탁운용,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,13200000.0,
37,금융회사,한국투자신탁운용,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,13200000.0,
38,금융회사,한국투자신탁운용,동일인측,자기주식,자기주식,-,-,-,-,-,,-,13200000.0,
39,금융회사,한국투자신탁운용,동일인측,계열회사(국내+해외),계열회사(국내+해외),한국투자증권,13200000,100.00,-,-,13200000.0,100.00,13200000.0,1.0
40,금융회사,한국투자신탁운용,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,13200000.0,
41,금융회사,한국투자신탁운용,동일인측,동일인측 합계,동일인측 합계,/,13200000,100.00,-,-,13200000.0,100.00,13200000.0,1.0
42,금융회사,한국투자신탁운용,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,13200000.0,
43,금융회사,한국투자신탁운용,기타주주,기타,기타,/,-,-,-,-,,-,13200000.0,
44,금융회사,한국투자신탁운용,총 계,총 계,총 계,/,13200000,100.00,-,-,13200000.0,100.00,13200000.0,1.0
45,금융회사,한국투자밸류자산운용,동일인측,동일인,동일인,-,-,-,-,-,,-,2000000.0,
46,금융회사,한국투자밸류자산운용,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,2000000.0,
47,금융회사,한국투자밸류자산운용,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,2000000.0,
48,금융회사,한국투자밸류자산운용,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,2000000.0,
49,금융회사,한국투자밸류자산운용,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,2000000.0,
50,금융회사,한국투자밸류자산운용,동일인측,친족,친족 합계,/,-,-,-,-,,-,2000000.0,
51,금융회사,한국투자밸류자산운용,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,2000000.0,
52,금융회사,한국투자밸류자산운용,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,2000000.0,
53,금융회사,한국투자밸류자산운용,동일인측,자기주식,자기주식,-,-,-,-,-,,-,2000000.0,
54,금융회사,한국투자밸류자산운용,동일인측,계열회사(국내+해외),계열회사(국내+해외),한국투자증권,2000000,100.00,-,-,2000000.0,100.00,2000000.0,1.0
55,금융회사,한국투자밸류자산운용,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,2000000.0,
56,금융회사,한국투자밸류자산운용,동일인측,동일인측 합계,동일인측 합계,/,2000000,100.00,-,-,2000000.0,100.00,2000000.0,1.0
57,금융회사,한국투자밸류자산운용,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,2000000.0,
58,금융회사,한국투자밸류자산운용,기타주주,기타,기타,/,-,-,-,-,,-,2000000.0,
59,금융회사,한국투자밸류자산운용,총 계,총 계,총 계,/,2000000,100.00,-,-,2000000.0,100.00,2000000.0,1.0
60,금융회사,한국투자캐피탈,동일인측,동일인,동일인,-,-,-,-,-,,-,8200000.0,
61,금융회사,한국투자캐피탈,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,8200000.0,
62,금융회사,한국투자캐피탈,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,8200000.0,
