,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,롯데지주,동일인측,동일인,동일인,신동빈,12283541,11.71%,23085,2.34%,12306626,11.62%,105896860,0.11621332303904006
1,비금융회사,롯데지주,동일인측,친족,배우자/혈족1촌,신격호,3245425,3.09%,139847,14.16%,3385272,3.20%,105896860,0.03196763341235991
2,비금융회사,롯데지주,동일인측,친족,혈족2~4촌,신영자,2352422,2.24%,14814,1.50%,2367236,2.24%,105896860,0.02235416611975086
3,비금융회사,롯데지주,동일인측,친족,혈족2~4촌,신동주,171673,0.16%,0,0.00%,171673,0.16%,105896860,0.0016211339977408206
4,비금융회사,롯데지주,동일인측,친족,혈족2~4촌,장선윤,801,0.00%,0,0.00%,801,0.00%,105896860,7.563963652935507e-06
5,비금융회사,롯데지주,동일인측,친족,혈족2~4촌,장정안,77037,0.07%,0,0.00%,77037,0.07%,105896860,0.0007274719949203404
6,비금융회사,롯데지주,동일인측,친족,혈족2~4촌,신유미,42254,0.04%,0,0.00%,42254,0.04%,105896860,0.0003990108866306329
7,비금융회사,롯데지주,동일인측,친족,혈족5~6촌,조현욱,251,0.00%,1,0.00%,252,0.00%,105896860,2.379673958226901e-06
8,비금융회사,롯데지주,동일인측,친족,혈족5~6촌,신영우,34,0.00%,0,0.00%,34,0.00%,105896860,3.21067121348074e-07
9,비금융회사,롯데지주,동일인측,친족,혈족5~6촌,신복남,320,0.00%,0,0.00%,320,0.00%,105896860,3.021808200923049e-06
10,비금융회사,롯데지주,동일인측,친족,혈족5~6촌,최성원,367,0.00%,0,0.00%,367,0.00%,105896860,3.465636280433622e-06
11,비금융회사,롯데지주,동일인측,친족,혈족5~6촌,최성현,262,0.00%,0,0.00%,262,0.00%,105896860,2.4741054645057465e-06
12,비금융회사,롯데지주,동일인측,친족,인척4촌 이내,오고 야요이,1792,0.00%,0,0.00%,1792,0.00%,105896860,1.6922125925169074e-05
13,비금융회사,롯데지주,동일인측,친족,인척4촌 이내,조용완,5,0.00%,3,0.00%,8,0.00%,105896860,7.554520502307623e-08
14,비금융회사,롯데지주,동일인측,친족,인척4촌 이내,박희청,320,0.00%,0,0.00%,320,0.00%,105896860,3.021808200923049e-06
15,비금융회사,롯데지주,동일인측,친족,친족합계,친족합계,5892963,5.62%,154665,15.66%,6047628,5.71%,105896860,0.057108662145412055
16,비금융회사,롯데지주,동일인측,비영리법인,,(재)롯데문화재단,90869,0.09%,11728,1.19%,102597,0.10%,105896860,0.000968838924969069
17,비금융회사,롯데지주,동일인측,비영리법인,,(재)롯데장학재단,3394589,3.24%,50516,5.11%,3445105,3.25%,105896860,0.03253264544387813
18,비금융회사,롯데지주,동일인측,비영리법인,,사회복지법인 롯데삼동복지재단,54807,0.05%,0,0.00%,54807,0.05%,105896860,0.0005175507564624673
19,비금융회사,롯데지주,동일인측,등기된임원,,황각규,74,0.00%,0,0.00%,74,0.00%,105896860,6.987931464634551e-07
20,비금융회사,롯데지주,동일인측,등기된임원,,이봉철,190,0.00%,0,0.00%,190,0.00%,105896860,1.7941986192980604e-06
21,비금융회사,롯데지주,동일인측,등기된임원,,강희태,127,0.00%,0,0.00%,127,0.00%,105896860,1.199280129741335e-06
22,비금융회사,롯데지주,동일인측,등기된임원,,이원준,700,0.00%,0,0.00%,700,0.00%,105896860,6.61020543951917e-06
23,비금융회사,롯데지주,동일인측,등기된임원,,정승인,1157,0.00%,0,0.00%,1157,0.00%,105896860,1.0925725276462399e-05
24,비금융회사,롯데지주,동일인측,자기주식,,롯데지주,34103935,32.51%,280048,28.36%,34383983,32.47%,105896860,0.32469313065562094
25,비금융회사,롯데지주,동일인측,계열회사,,호텔롯데,11644662,11.10%,47735,4.83%,11692397,11.04%,105896860,0.11041306607202518
26,비금융회사,롯데지주,동일인측,계열회사,,부산롯데호텔,989749,0.94%,0,0.00%,989749,0.93%,105896860,0.009346348890798084
27,비금융회사,롯데지주,동일인측,계열회사,,롯데알미늄,5313478,5.06%,38854,3.93%,5352332,5.05%,105896860,0.05054287728644646
28,비금융회사,롯데지주,동일인측,해외계열,,L제2투자회사,1548547,1.48%,0,0.00%,1548547,1.46%,105896860,0.014623162575358702
29,비금융회사,롯데지주,동일인측,해외계열,,L제12투자회사,823865,0.79%,0,0.00%,823865,0.78%,105896860,0.007779881292042087
30,비금융회사,롯데지주,동일인측,해외계열,,롯데홀딩스,2613965,2.49%,0,0.00%,2613965,2.47%,105896860,0.024684065231018182
31,비금융회사,롯데지주,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,78757218,75.07%,606631,61.42%,79363849,74.94%,105896860,0.7494447805156829
32,비금융회사,롯데지주,기타주주,기타,기타,기타,26152019,24.93%,380992,38.58%,26533011,25.06%,105896860,0.2505552194843171
33,비금융회사,롯데지주,롯데지주 합계,롯데지주 합계,롯데지주 합계,롯데지주 합계,104909237,100.00%,987623,100.00%,105896860,100.00%,105896860,1.0
