,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,한국지엠주식회사,동일인측,동일인,동일인,,,,,,,
1,비금융회사,한국지엠주식회사,동일인측,친족,배우자/혈족1촌,,,,,,,
2,비금융회사,한국지엠주식회사,동일인측,친족,배우자/혈족1촌,,,,,,,
3,비금융회사,한국지엠주식회사,동일인측,친족,혈족2~4촌,,,,,,,
4,비금융회사,한국지엠주식회사,동일인측,친족,혈족2~4촌,,,,,,,
5,비금융회사,한국지엠주식회사,동일인측,친족,혈족5~6촌,,,,,,,
6,비금융회사,한국지엠주식회사,동일인측,친족,혈족5~6촌,,,,,,,
7,비금융회사,한국지엠주식회사,동일인측,친족,인척 4촌 이내,,,,,,,
8,비금융회사,한국지엠주식회사,동일인측,친족,인척 4촌 이내,,,,,,,
9,비금융회사,한국지엠주식회사,동일인측,친족,친족 합계,/,,,,,,
10,비금융회사,한국지엠주식회사,동일인측,비영리법인,비영리법인,,,,,,,
11,비금융회사,한국지엠주식회사,동일인측,비영리법인,비영리법인,,,,,,,
12,비금융회사,한국지엠주식회사,동일인측,등기된 임원,등기된 임원,,,,,,,
13,비금융회사,한국지엠주식회사,동일인측,등기된 임원,등기된 임원,,,,,,,
14,비금융회사,한국지엠주식회사,동일인측,자기주식,자기주식,,,,,,,
15,비금융회사,한국지엠주식회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,
16,비금융회사,한국지엠주식회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,
17,비금융회사,한국지엠주식회사,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,
18,비금융회사,한국지엠주식회사,동일인측,동일인측 합계,동일인측 합계,,,,,,,
19,비금융회사,한국지엠주식회사,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,General Motors Investment Pty Ltd.,200185183.0,48.19%,55231010,39.99%,255416193.0,46.14%
20,비금융회사,한국지엠주식회사,기타주주,기타,기타,"GM Asia Pacific Holdings, LLC",39666698.0,9.55%,15008420,10.87%,54675118.0,9.88%
21,비금융회사,한국지엠주식회사,기타주주,기타,기타,GM Automotive Holdings S.L.,79866049.0,19.22%,44062378,31.90%,123928427.0,22.39%
22,비금융회사,한국지엠주식회사,기타주주,기타,기타,SAIC Motor Corporation Ltd.,24995488.0,6.02%,-,-,24995488.0,4.52%
23,비금융회사,한국지엠주식회사,기타주주,기타,기타,한국산업은행,70693388.0,17.02%,23809464,17.24%,94502852.0,17.07%
24,비금융회사,한국지엠주식회사,총 계,총 계,총 계,,415406806.0,100.00%,138111272,100.00%,553518078.0,100.00%
